Tissue: Liver
Frequency Hz	Permittivity	Elec. Cond. (S/m)
50000	10689.653289017337	0.07204278876282871
69000	9030.97268133013	0.0771603984292326
88000	7992.131637298502	0.08179123995307894
107000	7249.480542318753	0.08615136856840466
126000	6674.271491031332	0.09032253576585628
145000	6205.274311389498	0.09433821210010399
164000	5809.521573231052	0.0982128752716357
183000	5467.528698138425	0.10195340967815782
202000	5166.900709033805	0.10556385963317821
221000	4899.267220525999	0.10904744714588888
240000	4658.690545700498	0.11240739425260417
259000	4440.783500136899	0.115647209432434
278000	4242.193231725775	0.1187707363943629
297000	4060.284787832558	0.12178210426272648
316000	3892.939028336607	0.12468564435574514
335000	3738.418780748829	0.12748580340479454
354000	3595.2772495519316	0.13018706588121332
373000	3462.293468029903	0.1327938897765615
392000	3338.42558491702	0.13531065626961564
411000	3222.7762413037894	0.13774163200928838
430000	3114.566353495316	0.14009094213550635
449000	3013.1148779806704	0.142362552081019
468000	2917.822925813731	0.1445602563544056
487000	2828.1611021508206	0.1466876727502601
506000	2743.659280722906	0.14874824069391304
525000	2663.898247037971	0.15074522267164864
544000	2588.5027972866283	0.1526817079100401
563000	2517.1359865948166	0.15456061764675347
582000	2449.4942958447878	0.15638471148177432
601000	2385.303540712107	0.15815659441626892
620000	2324.3153863675698	0.15987872428052874
639000	2266.304360822009	0.16155341932684028
658000	2211.065282098622	0.16318286582140074
677000	2158.4110313300957	0.16476912551473713
696000	2108.170616911508	0.16631414290513816
715000	2060.1874849950727	0.1678197522365239
734000	2014.3180396059959	0.16928768419270196
753000	1970.4303420096726	0.17071957226548476
772000	1928.4029640507488	0.1721169587857656
791000	1888.1239742971716	0.1734813006152553
810000	1849.4900391698243	0.1748139745028413
829000	1812.4056239816355	0.17611628211399447
848000	1776.7822810724008	0.1773894547447319
867000	1742.5380141021667	0.17863465773367637
886000	1709.5967091310629	0.17985299458699283
905000	1677.887624425136	0.18104551083162362
924000	1647.3449320321638	0.18221319761244847
943000	1617.9073051053533	0.18335699504887223
962000	1589.5175457457267	0.18447779536599412
981000	1562.1222488096714	0.18557644581499763
1000000	1535.6714977059512	0.1866537513967831
